"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.630452310E-1,1.197000027E0,-1.809999943E-1,9.960000038E0,1.003330309E1
3.742986920E-1,1.550999999E0,-1.239999980E-1,9.864000320E0,9.985964116E0
3.841274610E-1,1.723000050E0,-5.700000003E-2,9.671999931E0,9.824436922E0
3.931531540E-1,1.425999999E0,-8.600000292E-2,9.758999825E0,9.863009154E0
4.030496150E-1,8.899999857E-1,-8.600000292E-2,1.002700043E1,1.006678864E1
4.130499230E-1,3.160000145E-1,-2.290000021E-1,9.960000038E0,9.967642538E0
4.230498460E-1,-1.120000005E0,-4.020000100E-1,9.786999702E0,9.859075372E0
4.330488460E-1,-1.264000058E0,-3.729999959E-1,9.940999985E0,1.002797616E1
4.434322310E-1,-9.380000234E-1,-3.160000145E-1,9.998000145E0,1.004687548E1
4.530491540E-1,-3.540000021E-1,-1.140000001E-1,9.567000389E0,9.574226258E0
4.630450770E-1,-1.899999939E-2,1.899999939E-2,9.279999733E0,9.280038634E0
4.730566920E-1,1.720000058E-1,-5.700000003E-2,1.001700020E1,1.001863893E1
4.832336150E-1,4.020000100E-1,-1.049999967E-1,1.002700043E1,1.003560494E1
4.930445380E-1,5.070000291E-1,-2.680000067E-1,9.796999931E0,9.813769953E0
5.030599230E-1,6.219999790E-1,-4.300000072E-1,9.892999649E0,9.921855977E0
5.131966920E-1,6.029999852E-1,-2.579999864E-1,9.892999649E0,9.914717093E0
5.230504610E-1,5.260000229E-1,-1.720000058E-1,9.854000092E0,9.869527741E0
5.330467690E-1,3.160000145E-1,-2.010000050E-1,9.739000320E0,9.746198451E0
5.430485380E-1,2.010000050E-1,-1.140000001E-1,9.807000160E0,9.809722175E0
5.530690770E-1,-2.800000086E-2,-3.729999959E-1,9.911999702E0,9.919054950E0
5.630563070E-1,-1.049999967E-1,-2.680000067E-1,9.998000145E0,1.000214257E1
5.730568460E-1,-4.020000100E-1,-2.579999864E-1,9.930999756E0,9.942480785E0
5.830450000E-1,-8.040000200E-1,-3.350000083E-1,9.711000443E0,9.749983109E0
5.930600770E-1,-9.380000234E-1,-2.099999934E-1,9.538000107E0,9.586312642E0
6.030602310E-1,-3.160000145E-1,-1.430000067E-1,1.000800037E1,1.001400901E1
6.130475380E-1,4.020000100E-1,-1.340000033E-1,1.002700043E1,1.003595026E1
6.230609230E-1,8.330000043E-1,-2.010000050E-1,9.902000427E0,9.939009129E0
6.330543070E-1,9.860000014E-1,-3.160000145E-1,9.864000320E0,9.918193098E0
6.430512310E-1,7.850000262E-1,-3.829999864E-1,9.883000374E0,9.921522586E0
6.530463070E-1,8.140000105E-1,-2.680000067E-1,9.960000038E0,9.996800527E0
6.630502310E-1,1.090999961E0,-2.579999864E-1,9.729999542E0,9.794372670E0
6.730784610E-1,2.211999893E0,-1.899999939E-2,9.644000053E0,9.894444985E0
6.830684610E-1,2.996999979E0,-6.990000010E-1,9.711000443E0,1.018695928E1
6.930617690E-1,4.089000225E0,-1.149000049E0,9.663000107E0,1.055526859E1
7.030521540E-1,4.921999931E0,-1.205999970E0,1.014200020E1,1.133757855E1
7.130486150E-1,6.377999783E0,-8.709999919E-1,9.222000122E0,1.124645760E1
7.230500770E-1,7.585000038E0,-1.340000033E-1,9.241000175E0,1.195601379E1
7.330457690E-1,1.088899994E1,7.850000262E-1,1.014200020E1,1.490123192E1
7.430649230E-1,1.332100010E1,1.235000014E0,9.671999931E0,1.650823586E1
7.530916150E-1,1.541899967E1,1.368999958E0,8.878000259E0,1.784484801E1
7.630560000E-1,1.594499969E1,1.733000040E0,9.020999908E0,1.840175926E1
7.730562310E-1,1.616600037E1,1.253999949E0,8.628999710E0,1.836768139E1
